CBG,Resilience,Robustness,Vulnerability,Status
482450111011,6.494744632757218,0.004466783216783215,0.0019656019656019647,Recovered
481990303003,0.0,0.0,0.0,No Trend Shown
482450003082,2.1057399269009798,0.006677586677586685,0.0019344799344799379,Recovered
482450109022,0.0,0.0,0.0,No Trend Shown
482450003071,2.550027941746803,0.0011012891344383065,0.0026268206931190363,Recovered
482450011003,0.0,0.0,0.0,No Trend Shown
482450026003,0.0,0.0,0.0,No Trend Shown
482450007002,10.508914865981824,0.005247311827956995,0.004496578690127078,New normal
482450013021,4.5318142959331515,0.0057871720116618175,0.0033002915451895098,Recovered
482450002002,1.1710654936461342,0.004405940594059382,0.001524752475247526,Recovered
482450001012,2.1496421838680724,0.020300300300300278,0.0006006006006005945,Recovered
483610208001,1.191327586855867,0.01186206896551717,0.0010727969348659,Recovered
481990306002,11.587564922297307,0.007161764705882351,0.0034012066365007552,Recovered
482450004001,0.0,0.0,0.0,No Trend Shown
482450005001,5.746460562161588,0.0012882298424467093,0.0035246869832270314,Recovered
482450023004,0.0,0.0,0.0,No Trend Shown
481990305022,0.0,0.0,0.0,No Trend Shown
482450009002,9.504582665954802,0.006333333333333335,0.0038392857142857157,Recovered
482450022003,34.8046262907985,0.0,0.002752797846720498,New normal
482450003063,2.604047987968822,0.004818049490538563,0.0022794759825327414,Recovered
482450012001,22.476094570671112,0.0,0.0023476523476523466,New normal
482450003083,0.0,0.0,0.0,No Trend Shown
482450021003,23.00181090282097,0.0,0.0022613560841408943,New normal
482450001031,0.0,0.0,0.0,No Trend Shown
482450065004,0.0,0.0,0.0,No Trend Shown
482450017003,0.0,0.0,0.0,No Trend Shown
482450114001,7.5312570020165825,0.005577483015205442,0.004778851042196235,Recovered
482450019003,25.113724068573568,0.0,0.0018848890573028507,New normal
482450011002,3.8104645406292894,0.01777777777777778,0.00258003766478343,Recovered
482450020002,27.713539101178004,0.0016544117647058825,0.010073198198198198,New normal
482450023001,26.71833571282887,0.006902286902286901,0.006451612903225806,Recovered
482450070013,1.8683915863198828,0.0034839718530101705,0.0027365129007036804,Recovered
483610220003,17.74105639442298,0.0042606915377616,0.004575371549893843,New normal
481990303002,1.8570903857049244,0.0076608187134503125,0.004450942170240422,Recovered
482450013011,1.5732603371272162,0.018731117824773436,0.003262839879154078,Recovered
482450112011,0.0,0.0,0.0,No Trend Shown
482450118002,8.52236431002241,0.015387931034482744,0.0026847290640394095,Recovered
482450111013,8.524052131361914,0.0036216165236253907,0.0019796429167361924,New normal
483610212002,35.08189233131116,0.0015568663174049663,0.008655067660867165,New normal
482450003044,20.401010005917477,0.0035863095238095224,0.00806451612903226,New normal
482450022001,13.290052889195495,0.006490996925779535,0.0016312190225233707,Recovered
482450001021,16.19318181818182,0.005847619047619046,0.003280423280423282,New normal
482459800001,0.0,0.0,0.0,No Trend Shown
482450003022,0.0,0.0,0.0,No Trend Shown
483610223003,0.0,0.0,0.0,No Trend Shown
482450026005,0.0,0.0,0.0,No Trend Shown
